Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2018-08-28 00:00:00,6915.92,7136.71,6877.2,7091.38,7136.71,0,-0.6351666244,6264.34,6,13.20234853,7384.38,-3.967834808,6818.69,3.999155263
2018-08-29 00:00:00,7091.38,7137.47,6944.76,7052,7137.47,0,-1.197483142,6356.96,6,10.93352798,7384.38,-4.50112264,6818.69,3.421624975
2018-08-30 00:00:00,7051.61,7072.64,6818.69,6998.76,7137.47,1,-1.943405717,6481.76,6,7.976228679,7417.65,-5.647206325,6903.08,1.386047967
2018-08-31 00:00:00,6998.76,7096.73,6903.08,7026.96,7137.47,2,-1.548307734,6588.48,5,6.655252805,7417.65,-5.267032011,6694.06,4.973065673
2018-09-01 00:00:00,7026.96,7272.03,7025.58,7203.46,7272.03,0,-0.9429279032,6588.48,6,9.334171159,7417.65,-2.88757221,6295.11,14.42945397
2018-09-02 00:00:00,7203.46,7384.38,7144.71,7301.26,7384.38,0,-1.125619212,6674.84,6,9.384794242,7417.65,-1.569095333,6295.11,15.9830408
2018-09-03 00:00:00,7301.25,7350.58,7204.89,7270.05,7384.38,1,-1.548268101,6818.69,4,6.619453297,7417.65,-1.989848537,6134.76,18.50585842
2018-09-04 00:00:00,7270.05,7417.65,7246.76,7369.86,7417.65,0,-0.6442741299,6818.69,5,8.083224197,7401.43,-0.4265391958,6134.76,20.13281693
2018-09-05 00:00:00,7369.89,7401.43,6694.06,6705.03,7417.65,1,-9.607085802,6694.06,0,0.1638766309,6727.19,-0.3294094563,6134.76,9.29571817
2018-09-06 00:00:00,6705.06,6727.19,6295.11,6515.42,7417.65,2,-12.16328622,6295.11,0,3.499700561,6549.39,-0.5186742582,6134.76,6.204969714
2018-09-07 00:00:00,6515.42,6549.39,6345.48,6411.78,7417.65,3,-13.56049423,6295.11,1,1.853343309,6480.57,-1.061480703,6134.76,4.515580072
2018-09-08 00:00:00,6413.12,6480.57,6134.76,6200.16,7417.65,4,-16.41341934,6134.76,0,1.066056374,6534.89,-5.122197925,6161.83,0.6220554608
2018-09-09 00:00:00,6200.23,6451.25,6161.83,6249.07,7417.65,5,-15.75404609,6134.76,1,1.863316576,6591.59,-5.196318339,6199.19,0.8046212489
2018-09-10 00:00:00,6249.07,6371.42,6247.64,6324.43,7417.65,6,-14.7380909,6134.76,2,3.09172649,6591.59,-4.053043348,6199.19,2.020263938
2018-09-11 00:00:00,6324.43,6415.51,6199.19,6295.54,7401.43,6,-14.9415721,6134.76,3,2.620803422,6591.59,-4.491329103,6208.28,1.405542276
2018-09-12 00:00:00,6295.54,6357.89,6208.28,6337.11,6727.19,6,-5.798557793,6134.76,4,3.298417542,6591.59,-3.860677014,6216.83,1.934748095
2018-09-13 00:00:00,6337.08,6534.89,6337.08,6492,6549.39,6,-0.8762648124,6134.76,5,5.823210688,6591.59,-1.510864602,6216.83,4.426210786
2018-09-14 00:00:00,6492.17,6591.59,6393.84,6486.01,6591.59,0,-1.601737972,6134.76,6,5.725570356,6573.19,-1.326296669,6131.02,5.790064296
2018-09-15 00:00:00,6485.39,6573.19,6473.47,6522.08,6591.59,1,-1.054525539,6161.83,6,5.846477426,6551.93,-0.455590948,6131.02,6.378384021
2018-09-16 00:00:00,6522.68,6525.05,6404.31,6502.44,6591.59,2,-1.352480964,6199.19,5,4.891768118,6785.22,-4.167587786,6131.02,6.058045806
2018-09-17 00:00:00,6502.44,6538.82,6216.83,6261.48,6591.59,3,-5.008048134,6199.19,6,1.004808693,6834.49,-8.384093034,6131.02,2.127867794
2018-09-18 00:00:00,6261.33,6393.39,6238.25,6346.44,6591.59,4,-3.719133016,6208.28,6,2.225415091,6834.49,-7.140986379,6131.02,3.51360785
2018-09-19 00:00:00,6346.44,6522.9,6131.02,6398.8,6591.59,5,-2.924787494,6131.02,0,4.367625615,6834.49,-6.374872156,6361.33,0.5890277662
2018-09-20 00:00:00,6398.83,6551.93,6361.33,6505.9,6591.59,6,-1.299989836,6131.02,1,6.114480135,6834.49,-4.807820335,6333.21,2.72673731
2018-09-21 00:00:00,6505.97,6785.22,6501.01,6762.06,6785.22,0,-0.3413301264,6131.02,2,10.29257774,6834.49,-1.059771834,6333.21,6.771447655
2018-09-22 00:00:00,6762.07,6834.49,6633.01,6716.6,6834.49,0,-1.724927537,6131.02,3,9.551102427,6768.56,-0.7676669779,6333.21,6.053644203
2018-09-23 00:00:00,6716.6,6768.56,6663.9,6702.7,6834.49,1,-1.928307745,6131.02,4,9.324386481,6806.1,-1.519225401,6333.21,5.834166244
2018-09-24 00:00:00,6702.73,6717.6,6557.82,6583.53,6834.49,2,-3.671963819,6131.02,5,7.380664229,6806.1,-3.270154714,6333.21,3.952498022
2018-09-25 00:00:00,6583.53,6583.54,6333.21,6437.74,6834.49,3,-5.805114939,6131.02,6,5.002756474,6806.1,-5.412203758,6383.16,0.8550623829
2018-09-26 00:00:00,6437.74,6543.92,6383.16,6462.6,6834.49,4,-5.441371631,6333.21,1,2.043039786,6806.1,-5.046943183,6434.76,0.4326501688
2018-09-27 00:00:00,6462.6,6733.94,6434.76,6686.13,6834.49,5,-2.170754511,6333.21,2,5.57252957,6806.1,-1.762683475,6474.23,3.272976091
2018-09-28 00:00:00,6686.13,6806.1,6545.41,6635.38,6834.49,6,-2.913311747,6333.21,3,4.771198176,6741.96,-1.580845926,6428.98,3.210462624
2018-09-29 00:00:00,6635.4,6635.42,6474.23,6603.75,6806.1,1,-2.973068277,6333.21,4,4.271767398,6741.96,-2.04999733,6428.98,2.71847167
2018-09-30 00:00:00,6603.75,6741.96,6543.68,6623.71,6806.1,2,-2.679801942,6333.21,5,4.58693143,6683.55,-0.8953325703,6428.98,3.028940827
2018-10-01 00:00:00,6623.82,6662.6,6510.54,6594.98,6806.1,3,-3.101923275,6333.21,6,4.133291017,6683.55,-1.325193946,6428.98,2.582058118
2018-10-02 00:00:00,6594.98,6618.95,6478.04,6525.47,6806.1,4,-4.123213,6383.16,6,2.229460017,6683.55,-2.365210105,6428.98,1.500860168
2018-10-03 00:00:00,6525.46,6537.07,6428.98,6492.26,6806.1,5,-4.611157638,6428.98,0,0.9842929983,6698.31,-3.076149058,6486.86,0.08324520646
2018-10-04 00:00:00,6492.61,6622.32,6486.86,6579.79,6806.1,6,-3.32510542,6428.98,1,2.345784246,6698.31,-1.769401536,6535.02,0.68507824
2018-10-05 00:00:00,6580,6683.55,6546.98,6632.87,6741.96,5,-1.618075456,6428.98,2,3.171420661,6698.31,-0.9769628459,6487.86,2.235097551
2018-10-06 00:00:00,6632.88,6637.08,6563.25,6589.94,6741.96,6,-2.254833906,6428.98,3,2.503663101,6698.31,-1.617870776,6171.95,6.772413905
2018-10-07 00:00:00,6589.94,6622.49,6535.02,6601.15,6683.55,2,-1.232877737,6428.98,4,2.678029796,6698.31,-1.45051513,6171.95,6.954042077
2018-10-08 00:00:00,6601.46,6698.31,6565.01,6650.07,6698.31,0,-0.7201816578,6428.98,5,3.438959213,6657,-0.1041009464,6171.95,7.746660294
2018-10-09 00:00:00,6650.07,6657,6589.39,6631.79,6698.31,1,-0.9930863158,6428.98,6,3.154621728,6633.22,-0.02155815728,6171.95,7.450481614
2018-10-10 00:00:00,6631.79,6633.22,6487.86,6581.07,6698.31,2,-1.750292238,6486.86,6,1.452320537,7234.83,-9.036286962,6171.95,6.628699196
2018-10-11 00:00:00,6581.07,6581.59,6171.95,6209.47,6698.31,3,-7.297960232,6171.95,0,0.6079116001,7234.83,-14.17255139,6173.86,0.5767866456
